authority,referrer,fees,next_epoch_ts,maker_volume30d,taker_volume30d,filler_volume30d,last_maker_volume30d_ts,last_taker_volume30d_ts,last_filler_volume30d_ts,if_staked_quote_asset_amount,number_of_sub_accounts,is_referrer,padding,slot,write_version,updated_on
7gRS8FbVuoVUfHUJNfLLKbFcXfkJbgCJzm9TdaSSJTG8,11111111111111111111111111111111,"UserFees(total_fee_paid=0, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,0,0,1666616411,1666616411,1666616411,0,1,False,"ListContainer: 
    0
    0
    0
    0
    0
    0",22,351,2022-10-24 13:00:12.016243
7gRS8FbVuoVUfHUJNfLLKbFcXfkJbgCJzm9TdaSSJTG8,11111111111111111111111111111111,"UserFees(total_fee_paid=0, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,0,0,1666616411,1666616411,1666616411,0,1,False,"ListContainer: 
    0
    0
    0
    0
    0
    0",23,421,2022-10-24 13:00:12.620212
7gRS8FbVuoVUfHUJNfLLKbFcXfkJbgCJzm9TdaSSJTG8,11111111111111111111111111111111,"UserFees(total_fee_paid=65166, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,65165944,0,1666616411,1666616431,1666616411,0,1,False,"ListContainer: 
    0
    0
    0
    0
    0
    0",64,831,2022-10-24 13:00:31.960148
7gRS8FbVuoVUfHUJNfLLKbFcXfkJbgCJzm9TdaSSJTG8,11111111111111111111111111111111,"UserFees(total_fee_paid=128305, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,128304541,0,1666616411,1666616446,1666616411,0,1,False,"ListContainer: 
    0
    0
    0
    0
    0
    0",95,1116,2022-10-24 13:00:47.073080
7gRS8FbVuoVUfHUJNfLLKbFcXfkJbgCJzm9TdaSSJTG8,11111111111111111111111111111111,"UserFees(total_fee_paid=167144, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,167141614,0,1666616411,1666616480,1666616411,0,1,False,"ListContainer: 
    0
    0
    0
    0
    0
    0",166,1921,2022-10-24 13:01:20.969125
7gRS8FbVuoVUfHUJNfLLKbFcXfkJbgCJzm9TdaSSJTG8,11111111111111111111111111111111,"UserFees(total_fee_paid=196817, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,196813444,0,1666616411,1666616498,1666616411,0,1,False,"ListContainer: 
    0
    0
    0
    0
    0
    0",204,2252,2022-10-24 13:01:39.518405
7gRS8FbVuoVUfHUJNfLLKbFcXfkJbgCJzm9TdaSSJTG8,11111111111111111111111111111111,"UserFees(total_fee_paid=281023, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,281018290,0,1666616411,1666616507,1666616411,0,1,False,"ListContainer: 
    0
    0
    0
    0
    0
    0",222,2409,2022-10-24 13:01:47.983085
7gRS8FbVuoVUfHUJNfLLKbFcXfkJbgCJzm9TdaSSJTG8,11111111111111111111111111111111,"UserFees(total_fee_paid=330746, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,330740068,0,1666616411,1666616515,1666616411,0,1,False,"ListContainer: 
    0
    0
    0
    0
    0
    0",239,2584,2022-10-24 13:01:56.021114
7gRS8FbVuoVUfHUJNfLLKbFcXfkJbgCJzm9TdaSSJTG8,11111111111111111111111111111111,"UserFees(total_fee_paid=412973, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,412965788,0,1666616411,1666616524,1666616411,0,1,False,"ListContainer: 
    0
    0
    0
    0
    0
    0",257,2744,2022-10-24 13:02:04.873065
7gRS8FbVuoVUfHUJNfLLKbFcXfkJbgCJzm9TdaSSJTG8,11111111111111111111111111111111,"UserFees(total_fee_paid=470401, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,470384347,0,1666616411,1666616577,1666616411,0,1,False,"ListContainer: 
    0
    0
    0
    0
    0
    0",368,3730,2022-10-24 13:02:57.696641
