authority,referrer,fees,next_epoch_ts,maker_volume30d,taker_volume30d,filler_volume30d,last_maker_volume30d_ts,last_taker_volume30d_ts,last_filler_volume30d_ts,if_staked_quote_asset_amount,number_of_sub_accounts,is_referrer,padding,slot,write_version,updated_on
Ed9XZsnzkifZadQVLvL37MbZyqKbCrLmu4cmHrQ3c8CT,11111111111111111111111111111111,"UserFees(total_fee_paid=0, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,0,0,1666616411,1666616411,1666616411,0,1,False,"ListContainer: 
    0
    0
    0
    0
    0
    0",22,348,2022-10-24 13:00:12.013778
Ed9XZsnzkifZadQVLvL37MbZyqKbCrLmu4cmHrQ3c8CT,11111111111111111111111111111111,"UserFees(total_fee_paid=0, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,0,0,1666616411,1666616411,1666616411,0,1,False,"ListContainer: 
    0
    0
    0
    0
    0
    0",23,432,2022-10-24 13:00:12.623398
Ed9XZsnzkifZadQVLvL37MbZyqKbCrLmu4cmHrQ3c8CT,11111111111111111111111111111111,"UserFees(total_fee_paid=0, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,0,0,1666616411,1666616411,1666616411,0,1,False,"ListContainer: 
    0
    0
    0
    0
    0
    0",1055,9832,2022-10-24 13:08:26.374941
Ed9XZsnzkifZadQVLvL37MbZyqKbCrLmu4cmHrQ3c8CT,11111111111111111111111111111111,"UserFees(total_fee_paid=0, total_fee_rebate=0, total_token_discount=0, total_referee_discount=0, total_referrer_reward=0, current_epoch_referrer_reward=0)",0,0,0,0,1666616411,1666616411,1666616411,0,1,False,"ListContainer: 
    0
    0
    0
    0
    0
    0",1090,10195,2022-10-24 13:08:43.221261
