slot,ix_name,ix_args,error
23,add_liquidity,"{'n_shares': 42554684114, 'market_index': 0}",
25,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Long': Container()}, 'user_order_id': 0, 'base_asset_amount': 71277300000, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
26,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 20876100000}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program FPVkWvcQgc4aCS8TrKo5c8GqTbKMauvzpADdqzRT2WbT invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program FPVkWvcQgc4aCS8TrKo5c8GqTbKMauvzpADdqzRT2WbT consumed 34477 of 200000 compute units', 'Program FPVkWvcQgc4aCS8TrKo5c8GqTbKMauvzpADdqzRT2WbT failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)"
26,remove_liquidity,"{'shares_to_burn': 42554600000, 'market_index': 0}",
27,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 6231800000}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program FPVkWvcQgc4aCS8TrKo5c8GqTbKMauvzpADdqzRT2WbT invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program FPVkWvcQgc4aCS8TrKo5c8GqTbKMauvzpADdqzRT2WbT consumed 34801 of 200000 compute units', 'Program FPVkWvcQgc4aCS8TrKo5c8GqTbKMauvzpADdqzRT2WbT failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)"
27,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 20876100000}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program FPVkWvcQgc4aCS8TrKo5c8GqTbKMauvzpADdqzRT2WbT invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program FPVkWvcQgc4aCS8TrKo5c8GqTbKMauvzpADdqzRT2WbT consumed 34477 of 200000 compute units', 'Program FPVkWvcQgc4aCS8TrKo5c8GqTbKMauvzpADdqzRT2WbT failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)"
34,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 6231800000}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program FPVkWvcQgc4aCS8TrKo5c8GqTbKMauvzpADdqzRT2WbT invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program FPVkWvcQgc4aCS8TrKo5c8GqTbKMauvzpADdqzRT2WbT consumed 34499 of 200000 compute units', 'Program FPVkWvcQgc4aCS8TrKo5c8GqTbKMauvzpADdqzRT2WbT failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)"
34,liquidate_perp,"{'market_index': 0, 'liquidator_max_base_asset_amount': 20876100000}","({'code': -32002, 'message': 'Transaction simulation failed: Error processing Instruction 0: custom program error: 0x1774', 'data': {'accounts': None, 'err': {'InstructionError': [0, {'Custom': 6004}]}, 'logs': ['Program FPVkWvcQgc4aCS8TrKo5c8GqTbKMauvzpADdqzRT2WbT invoke [1]', 'Program log: Instruction: LiquidatePerp', 'Program log: AnchorError occurred. Error Code: SufficientCollateral. Error Number: 6004. Error Message: Sufficient collateral.', 'Program FPVkWvcQgc4aCS8TrKo5c8GqTbKMauvzpADdqzRT2WbT consumed 34175 of 200000 compute units', 'Program FPVkWvcQgc4aCS8TrKo5c8GqTbKMauvzpADdqzRT2WbT failed: custom program error: 0x1774'], 'returnData': None, 'unitsConsumed': 0}},)"
