mint,owner,amount,delegate_option,delegate,state,is_native_option,is_native,delegated_amount,close_authority_option,close_authority,slot,write_version,updated_on
b'E\xecC\x9d\x9dSt*W>\x9e\xa5{\xb80b\xa1\tl\xb7a\x12\x1c~\xec\xbaa\xde(\xe0\x87Z',b'\xfc\xf6\xb3<\xf5\xad#\xa3\xc2\x9b\xcd=\xa9\xe2W\xeb=[\x05\xb6\xcd\x82v\xae\xa76\xbf\x10:\xe5\x88\xc9',0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',11,211,2022-10-24 20:10:41.405114
b'E\xecC\x9d\x9dSt*W>\x9e\xa5{\xb80b\xa1\tl\xb7a\x12\x1c~\xec\xbaa\xde(\xe0\x87Z',b'\xfc\xf6\xb3<\xf5\xad#\xa3\xc2\x9b\xcd=\xa9\xe2W\xeb=[\x05\xb6\xcd\x82v\xae\xa76\xbf\x10:\xe5\x88\xc9',35194234,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,338,2022-10-24 20:10:46.956392
b'E\xecC\x9d\x9dSt*W>\x9e\xa5{\xb80b\xa1\tl\xb7a\x12\x1c~\xec\xbaa\xde(\xe0\x87Z',b'\xfc\xf6\xb3<\xf5\xad#\xa3\xc2\x9b\xcd=\xa9\xe2W\xeb=[\x05\xb6\xcd\x82v\xae\xa76\xbf\x10:\xe5\x88\xc9',10000035194234,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,344,2022-10-24 20:10:46.964850
b'E\xecC\x9d\x9dSt*W>\x9e\xa5{\xb80b\xa1\tl\xb7a\x12\x1c~\xec\xbaa\xde(\xe0\x87Z',b'\xfc\xf6\xb3<\xf5\xad#\xa3\xc2\x9b\xcd=\xa9\xe2W\xeb=[\x05\xb6\xcd\x82v\xae\xa76\xbf\x10:\xe5\x88\xc9',20000035194234,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',23,351,2022-10-24 20:10:46.971026
b'E\xecC\x9d\x9dSt*W>\x9e\xa5{\xb80b\xa1\tl\xb7a\x12\x1c~\xec\xbaa\xde(\xe0\x87Z',b'\xfc\xf6\xb3<\xf5\xad#\xa3\xc2\x9b\xcd=\xa9\xe2W\xeb=[\x05\xb6\xcd\x82v\xae\xa76\xbf\x10:\xe5\x88\xc9',20000002543784,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',47,564,2022-10-24 20:10:58.301135
b'E\xecC\x9d\x9dSt*W>\x9e\xa5{\xb80b\xa1\tl\xb7a\x12\x1c~\xec\xbaa\xde(\xe0\x87Z',b'\xfc\xf6\xb3<\xf5\xad#\xa3\xc2\x9b\xcd=\xa9\xe2W\xeb=[\x05\xb6\xcd\x82v\xae\xa76\xbf\x10:\xe5\x88\xc9',10000002543784,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',49,586,2022-10-24 20:10:59.339989
